,productmodelid,productdescriptionid,cultureid,modifieddate
610,102,1754,he,2013-04-30 00:00:00
611,102,1880,zh-cht,2013-04-30 00:00:00
612,103,630,en,2013-04-30 00:00:00
613,103,1393,ar,2013-04-30 00:00:00
614,103,1510,fr,2013-04-30 00:00:00
615,103,1632,th,2013-04-30 00:00:00
616,103,1755,he,2013-04-30 00:00:00
617,103,1882,zh-cht,2013-04-30 00:00:00
618,104,633,en,2013-04-30 00:00:00
619,104,1394,ar,2013-04-30 00:00:00
620,104,1511,fr,2013-04-30 00:00:00
621,104,1633,th,2013-04-30 00:00:00
622,104,1756,he,2013-04-30 00:00:00
623,104,1883,zh-cht,2013-04-30 00:00:00
624,105,634,en,2013-04-30 00:00:00
625,105,1395,ar,2013-04-30 00:00:00
626,105,1512,fr,2013-04-30 00:00:00
627,105,1634,th,2013-04-30 00:00:00
628,105,1757,he,2013-04-30 00:00:00
629,105,1884,zh-cht,2013-04-30 00:00:00
630,106,635,en,2013-04-30 00:00:00
631,106,1396,ar,2013-04-30 00:00:00
632,106,1513,fr,2013-04-30 00:00:00
633,106,1635,th,2013-04-30 00:00:00
634,106,1758,he,2013-04-30 00:00:00
635,106,1885,zh-cht,2013-04-30 00:00:00
636,107,1213,en,2013-04-30 00:00:00
637,107,1479,ar,2013-04-30 00:00:00
638,107,1601,fr,2013-04-30 00:00:00
639,107,1724,th,2013-04-30 00:00:00
640,107,1851,he,2013-04-30 00:00:00
641,107,1977,zh-cht,2013-04-30 00:00:00
642,108,1183,en,2013-04-30 00:00:00
643,108,1454,ar,2013-04-30 00:00:00
644,108,1576,fr,2013-04-30 00:00:00
645,108,1699,th,2013-04-30 00:00:00
646,108,1763,he,2013-04-30 00:00:00
647,108,1951,zh-cht,2013-04-30 00:00:00
648,109,1202,en,2013-04-30 00:00:00
649,109,1470,ar,2013-04-30 00:00:00
650,109,1592,fr,2013-04-30 00:00:00
651,109,1715,th,2013-04-30 00:00:00
652,109,1841,he,2013-04-30 00:00:00
653,109,1968,zh-cht,2013-04-30 00:00:00
654,110,1203,en,2013-04-30 00:00:00
655,110,1471,ar,2013-04-30 00:00:00
656,110,1593,fr,2013-04-30 00:00:00
657,110,1716,th,2013-04-30 00:00:00
658,110,1842,he,2013-04-30 00:00:00
659,110,1969,zh-cht,2013-04-30 00:00:00
660,111,1186,en,2013-04-30 00:00:00
661,111,1456,ar,2013-04-30 00:00:00
662,111,1578,fr,2013-04-30 00:00:00
663,111,1701,th,2013-04-30 00:00:00
664,111,1765,he,2013-04-30 00:00:00
665,111,1953,zh-cht,2013-04-30 00:00:00
666,112,1209,en,2013-04-30 00:00:00
667,112,1475,ar,2013-04-30 00:00:00
668,112,1597,fr,2013-04-30 00:00:00
669,112,1720,th,2013-04-30 00:00:00
670,112,1846,he,2013-04-30 00:00:00
671,112,1973,zh-cht,2013-04-30 00:00:00
672,113,1185,en,2013-04-30 00:00:00
673,113,1455,ar,2013-04-30 00:00:00
674,113,1577,fr,2013-04-30 00:00:00
675,113,1700,th,2013-04-30 00:00:00
676,113,1764,he,2013-04-30 00:00:00
677,113,1952,zh-cht,2013-04-30 00:00:00
678,114,1197,en,2013-04-30 00:00:00
679,114,1466,ar,2013-04-30 00:00:00
680,114,1588,fr,2013-04-30 00:00:00
681,114,1711,th,2013-04-30 00:00:00
682,114,1837,he,2013-04-30 00:00:00
683,114,1964,zh-cht,2013-04-30 00:00:00
684,115,1216,en,2013-04-30 00:00:00
685,115,1482,ar,2013-04-30 00:00:00
686,115,1604,fr,2013-04-30 00:00:00
687,115,1727,th,2013-04-30 00:00:00
688,115,1854,he,2013-04-30 00:00:00
689,115,1980,zh-cht,2013-04-30 00:00:00
690,116,1191,en,2013-04-30 00:00:00
691,116,1460,ar,2013-04-30 00:00:00
692,116,1582,fr,2013-04-30 00:00:00
693,116,1705,th,2013-04-30 00:00:00
694,116,1831,he,2013-04-30 00:00:00
695,116,1957,zh-cht,2013-04-30 00:00:00
696,117,1206,en,2013-04-30 00:00:00
697,117,1473,ar,2013-04-30 00:00:00
698,117,1595,fr,2013-04-30 00:00:00
699,117,1718,th,2013-04-30 00:00:00
700,117,1844,he,2013-04-30 00:00:00
701,117,1971,zh-cht,2013-04-30 00:00:00
702,118,1187,en,2013-04-30 00:00:00
703,118,1457,ar,2013-04-30 00:00:00
704,118,1579,fr,2013-04-30 00:00:00
705,118,1702,th,2013-04-30 00:00:00
706,118,1766,he,2013-04-30 00:00:00
707,118,1954,zh-cht,2013-04-30 00:00:00
708,119,1215,en,2013-04-30 00:00:00
709,119,1481,ar,2013-04-30 00:00:00
710,119,1603,fr,2013-04-30 00:00:00
711,119,1726,th,2013-04-30 00:00:00
712,119,1853,he,2013-04-30 00:00:00
713,119,1979,zh-cht,2013-04-30 00:00:00
714,120,1193,en,2013-04-30 00:00:00
715,120,1462,ar,2013-04-30 00:00:00
716,120,1584,fr,2013-04-30 00:00:00
717,120,1707,th,2013-04-30 00:00:00
718,120,1833,he,2013-04-30 00:00:00
719,120,1959,zh-cht,2013-04-30 00:00:00
720,121,1188,en,2013-04-30 00:00:00
721,121,1458,ar,2013-04-30 00:00:00
722,121,1580,fr,2013-04-30 00:00:00
723,121,1703,th,2013-04-30 00:00:00
724,121,1767,he,2013-04-30 00:00:00
725,121,1955,zh-cht,2013-04-30 00:00:00
726,122,1201,en,2013-04-30 00:00:00
727,122,1469,ar,2013-04-30 00:00:00
728,122,1591,fr,2013-04-30 00:00:00
729,122,1714,th,2013-04-30 00:00:00
730,122,1840,he,2013-04-30 00:00:00
731,122,1967,zh-cht,2013-04-30 00:00:00
732,123,1981,en,2013-04-30 00:00:00
733,123,1982,ar,2013-04-30 00:00:00
734,123,1983,fr,2013-04-30 00:00:00
735,123,1984,th,2013-04-30 00:00:00
736,123,1985,he,2013-04-30 00:00:00
737,123,1986,zh-cht,2013-04-30 00:00:00
738,124,1987,en,2013-04-30 00:00:00
739,124,1988,ar,2013-04-30 00:00:00
740,124,1989,fr,2013-04-30 00:00:00
741,124,1990,th,2013-04-30 00:00:00
742,124,1991,he,2013-04-30 00:00:00
743,124,1992,zh-cht,2013-04-30 00:00:00
744,125,1993,en,2013-04-30 00:00:00
745,125,1994,ar,2013-04-30 00:00:00
746,125,1995,fr,2013-04-30 00:00:00
747,125,1996,th,2013-04-30 00:00:00
748,125,1997,he,2013-04-30 00:00:00
749,125,1998,zh-cht,2013-04-30 00:00:00
750,126,1999,en,2013-04-30 00:00:00
751,126,2000,ar,2013-04-30 00:00:00
752,126,2001,fr,2013-04-30 00:00:00
753,126,2002,th,2013-04-30 00:00:00
754,126,2003,he,2013-04-30 00:00:00
755,126,2004,zh-cht,2013-04-30 00:00:00
756,127,2005,en,2013-04-30 00:00:00
757,127,2006,ar,2013-04-30 00:00:00
758,127,2007,fr,2013-04-30 00:00:00
759,127,2008,th,2013-04-30 00:00:00
760,127,2009,he,2013-04-30 00:00:00
761,127,2010,zh-cht,2013-04-30 00:00:00
