productdescriptionid,description,rowguid,modifieddate
1402,عجلة احتياطية مخصصة للقيادة في الجبال لراكبي الدراجات المبتدئين.,c0f0238e-5ff9-4de8-9aa2-d395dc0134b2,2013-04-30 00:00:00
1403,عجلة احتياطية مخصصة للقيادة في الجبال تناسب كافة أنواع الركاب بدءًا من الراكب العادي إلى الراكب المحترف.,a8598e59-3038-4cd7-b9ef-0dc059fad2a1,2013-04-30 00:00:00
1404,عجلة احتياطية مخصصة للقيادة في الجبال عالية الأداء.,b40f67ca-2022-404f-ae5d-c87f584372e2,2013-04-30 00:00:00
1405,عجلة طريق أمامية بديلة لقائدي الدراجات المبتدئين.,51a286be-6e3c-4843-811e-74d6ce0343aa,2013-04-30 00:00:00
1406,تتميز بوجود سبيكة قوية تحتوي على محور عجلة سريع التفكيك.,e985ec2e-65a4-473f-9942-46e79e5ca1ee,2013-04-30 00:00:00
1407,عجلة قوية بإطار معدني ذي طبقتين.,b10c4e78-e091-4e60-bc53-bb40b08cf9af,2013-04-30 00:00:00
1408,توفر خاصية الديناميكية الهوائية للإطارين المعدنيين قيادة سلسة.,08cebace-523f-4fb9-937c-43c8d457520b,2013-04-30 00:00:00
1409,قضيب قيادة ملائم لكافة الأغراض على الطرق الممهدة وغير الممهدة.,b6097a89-58c6-4bf3-bd10-9f49bb47d7d1,2013-04-30 00:00:00
1410,قضبان قيادة قوية من سبيكة الألومنيوم لتحمّل القيادة فوق المنحدرات.,63cad40c-dac6-4701-a464-68b86de8df71,2013-04-30 00:00:00
1411,قضيب قيادة مسطح وقوي بدرجة كافية لجولات المحترفين.,303f7483-4fe6-4666-84fc-f62be59082fd,2013-04-30 00:00:00
1412,شكل فريد يوفر وصولاً أسهل إلى تروس التحكم في السرعة.,33c6c152-d2fe-4e06-af65-b974f175e489,2013-04-30 00:00:00
1413,قضيب قيادة أنبوبي الشكل مصنوع من الألومنيوم ومشكّل بطريقة تتكيف مع بنية الراكب الجسمية ويناسب جميع الرّكاب.,30616f67-9f49-43f4-8378-9497da98e887,2013-04-30 00:00:00
1414,أحدث قضيب قيادة مشكّل بطريقة تتكيف مع بنية الراكب الجسمية وهو مصنوع من سبيكة ألومنيوم، ومصمم للمتسابقين.,6c3a154f-5702-4917-83ee-cd14e43b6531,2013-04-30 00:00:00
1415,شكل فريد يقلل عناء القيادة على الركاب المبتدئين.,605fe916-6689-4ecd-9e08-e6a0080acdd2,2013-04-30 00:00:00
1416,قضيب قيادة مصنوع من الألومنيوم خفيف الوزن ولكنه قوي يتحمل القيادة لمسافات طويلة.,e5f2ec16-20c0-4efd-9b62-4c188a376586,2013-04-30 00:00:00
1417,توفر الوصلة غير الملولبة بين الشوكة الماسكة للعجلة الأمامية وبقية هيكل الدراجة الجودة المطلوبة وبسعر اقتصادي.,3ad8020e-ccf8-45ec-b7cb-be1a88909f3d,2013-04-30 00:00:00
1418,تمنع الخرطوشة محكمة الإغلاق الأوساخ من الدخول.,5d75f6df-84a3-4105-82ad-6956099ede4e,2013-04-30 00:00:00
1419,وصلة غير ملولبة بين الشوكة الماسكة للعجلة الأمامية وبقية هيكل الدراجة بمساحة 1 بوصة ذات جودة عالية مزودة بمنفذ تشحيم لإجراء التشحيم بشكل سريع.,4156ea31-e604-4a27-822e-abcbd1ff9fc1,2013-04-30 00:00:00
1420,هيكل أساسي واسع بحيث يمكنك القيادة بأي حذاء، وهذا أمر رائع للقيادة متعددة الأغراض.,54418e7a-e5ac-41de-81a6-e28b6cb67bd1,2013-04-30 00:00:00
1421,دواسة خفيفة الوزن شديدة التحمّل بلا مشابك وذات قوة شدّ يمكن تعديلها.,95da7f09-7151-4d57-82ee-f40f8c933620,2013-04-30 00:00:00
1422,مصنوعة من الفولاذ الذي لا يصدأ، والذي تم تصميمه لإزالة الطين بسهولة.,e597377e-aa17-4cd1-859b-afbeae0ab09a,2013-04-30 00:00:00
1423,دواستان بلا مشابك مصنوعتان من الألومنيوم.,bffe6cd3-0e25-45f3-b672-3eee8652d613,2013-04-30 00:00:00
1424,تركيبة سبيكة ألومنيوم خفيفة الوزن.,4294dcb1-3535-452d-b520-fbf3de6f8f66,2013-04-30 00:00:00
1425,دواستان من أعلى الطرازات بقوة شدّ يمكن تعديلها.,2eafee3c-3c38-4e58-a6da-0830782d9770,2013-04-30 00:00:00
1426,دواسة ثابتة ومتوازنة للقيادة طوال اليوم.,479a69c1-9c7b-4aa9-93b1-8752994d1693,2013-04-30 00:00:00
1427,أحذية قيادة دراجات؛ كماشات فرامل مصنوعة من الألومنيوم ومصقولة.,c9f899e9-9cde-492a-bc15-6302920b5eee,2013-04-30 00:00:00
1429,ناقل سرعات مصنوع من الألومنيوم ذو عشر سرعات مع محامل بكرات مغلقة.,b4de2648-4918-41d8-b9d9-33acb99edd58,2013-04-30 00:00:00
1430,عجلة احتياطية خلفية مخصصة للقيادة في الجبال للراكبين المبتدئين.,24999fb6-c5da-44d9-a502-1370174157ad,2013-04-30 00:00:00
1431,مصممة لامتصاص الصدمات.,86281b9d-67f9-435c-b3ea-dd802c58c4ef,2014-02-08 10:32:17.973
1432,تصميم يتناسب مع بنية الراكب الجسمية لتوفير قيادة مريحة طوال اليوم. جلد شديد التحمل.,77219b6b-e520-47ed-af4b-d0c47e3edc6a,2013-04-30 00:00:00
1433,مقعد خفيف الوزن ذو حشو رغوي.,bac5d6f9-8c13-4ddd-9b85-ad65f9820fd5,2013-04-30 00:00:00
1434,مصدات مطاطية تمتص الصدمات.,6d07300b-d507-45bb-8f6a-933afba626a3,2013-04-30 00:00:00
1435,مقعد سباق خفيف الوزن مصنوع من مادة كيفلار. جلد.,9214daa3-8ffa-41fd-be9a-864f6ca09644,2013-04-30 00:00:00
1436,مقعد جيلاتيني مصمم بشكل يتناسب مع حركة الجسم.,6f87b586-6df2-4965-9c6a-028ad1c9bd43,2013-04-30 00:00:00
1437,تصميم جديد لتخفيف الضغط عند القيادة لفترات طويلة.,d163740c-4557-447a-b61d-132141f225ea,2013-04-30 00:00:00
1438,هيكل خارجي تم تصميمه لتوفير مزيد من الراحة أثناء القيادة.,79264ac2-ec3d-4970-bad1-b0f104db7b85,2013-04-30 00:00:00
1439,قوة جر تضاهي أحدث الطرازات، غطاء حافة بارزة مطاطي منخفض الثمن.,ea287572-a2e0-435d-91ea-040c12fadaaf,2013-04-30 00:00:00
1440,قوة جر كبيرة، مطاط عالي الكثافة.,6d23b4db-e6c8-4aba-b680-8df6bc38f753,2013-04-30 00:00:00
1441,قوة جر هائلة، كربون مقوى خفيف الوزن.,2e0a6c41-8b8d-40ba-99ec-38bbc253dd12,2013-04-30 00:00:00
1442,السطح الخارجي للإطار بنفس جودة أسطح الإطارات الخارجية الأغلى ثمنًا، ولكنه مزود بغطاء حافة بارزة مطاطي أقل سعرًا.,d924186f-a193-4920-9ee0-1bc04057a3b6,2013-04-30 00:00:00
1443,مطاط أعلى كثافة من الطرازات الأخرى.,32fdca7f-17dd-40b8-8984-6d6ebae9759d,2013-04-30 00:00:00
1444,كربون مقوى خفيف الوزن لقيادة منقطعة النظير مع تحمل أوزان مرتفعة.,73fa0b57-98e4-4973-9e9c-07db8bd744d7,2013-04-30 00:00:00
1445,مطاط عالي الكثافة.,e6d520b2-eef8-4fbb-88a7-909015003889,2013-04-30 00:00:00
1446,أنبوبة ذاتية القفل.,62787892-747e-4b08-a65c-d9e3a75d79bc,2013-04-30 00:00:00
1447,أنبوبة تقليدية تناسب كافة الأغراض.,8b88d67d-1080-42ab-b1c7-96b9320c8643,2013-04-30 00:00:00
1448,أنبوبة متعددة الأغراض.,13aa2cb8-1055-4827-8457-e5ddda2c25e8,2013-04-30 00:00:00
1449,يوفر الهيكل LL Frame قيادة آمنة ومريحة، مع توفير إمكانية فائقة لامتصاص الصدمات في هيكل من الألومنيوم جيد السعر بالنسبة لإمكاناته.,bfd11904-8b44-4a8d-b336-c5455521c575,2013-04-30 00:00:00
1450,يحتوي هيكل ML على أنبوبة سفلية خفيفة الوزن تم تشكيلها بحيث تحتوي على أفضل قطر يوفر أعلى درجات القوة، وقد تم صناعتها من نفس سبيكة الألومنيوم التي تم صناعة هيكل HL - الذي يعد من أعلى طرازاتنا - منها. الطراز الرجالي.,1a852dbd-c6bf-4f8f-a228-9e7aa8d77bd1,2013-04-30 00:00:00
1451,لقد تم صناعة هيكل دراجتنا الألومنيوم الأخف وزنًا والأعلى جودة، من أحدث السبائك المتوفرة، وتم لحامه ومعالجته حراريًا لزيادة قوته. ويوفر تصميمنا الإبداعي أقصى درجات الراحة والأداء.,f5026880-a5e7-48de-92b0-757a4bd25cc7,2013-04-30 00:00:00
1452,يوفر هيكل الألومنيوم سميك الأطراف خفيف الوزن وضع قيادة أكثر انتصابًا أثناء القيام برحلات في أرجاء البلدة. يوفر تصميمنا الابتكاري أعلى درجات الراحة.,64e648f4-b70a-4524-8638-298d1f244c54,2013-04-30 00:00:00
1453,وقد تم تخصيص شكل هيكل HL المصنوع من الألومنيوم لتوفير كل من جمال الشكل والقوة، كما أن بإمكانه مواجهة أصعب تحديات القيادة اليومية. الطراز الرجالي.,2b43d966-9911-48f4-aa23-066cda0e9045,2013-04-30 00:00:00
1454,إضاءة ذات سعر منخفض للقيادة بشكل آمن ليلاً، تستخدم 3 بطاريات AAA.,3e28d8ba-63e5-4361-b711-cebf32e01c31,2013-04-30 00:00:00
1455,هيكل قفصي من الألومنيوم أخف من مثيله في طرازنا المخصص للقيادة في الجبال، وهو مثالي في الرحلات ذات المسافات الطويلة.,0af7dd9b-750f-4d5a-a42e-f6e74d2cecb5,2013-04-30 00:00:00
1456,زجاجة مياه تحمل شعار AWC تستوعب 840 غرامًا من المياه، وهي مضادة للتسرب.,6e7e96f7-b699-473a-b6b2-230515b08fae,2013-04-30 00:00:00
1457,يحمل 4 دراجات بشكل آمن، ذو بنية فولاذية، ويناسب عقدة تعليق بمساحة 2 بوصة.,3d25117b-8f68-41f4-a9aa-3fed22dbf67a,2013-04-30 00:00:00
1458,رفارف مثبتة بمشابك تلائم معظم الدراجات المخصصة للقيادة في الجبال.,bf816e3c-698c-43d5-9c6f-3aba14ed4967,2013-04-30 00:00:00
1459,تركيبة من الفيبر الطبيعي والصناعي تظل محتفظة بجفافها وتعمل كوسائد ملائمة.,ed3f2c3a-2414-46b6-b3eb-4f8d9e388cf8,2013-04-30 00:00:00
1460,مصممة لتوفير الراحة التامة. تلائم حجم الجيب. ماسورة من الألومنيوم. بمعدل رطل في البوصة المربعة.,4cf0633f-fe6b-4509-8c59-5c67f2ef8987,2013-04-30 00:00:00
1461,مصممة لفريق AWC مع أشرطة ثابتة، وتحكم في الرطوبة، وحشو شمواة، وماسكات للرجلين.,0cabebc9-eb28-4b98-af7c-b0603a94bf81,2013-04-30 00:00:00
1462,تركيبة نيلون شديدة التحمل مضادة للماء يمكن الوصول إليها بسهولة. واسعة بدرجة كافية لرحلات عطلة نهاية الأسبوع.,be0cfb0f-1d67-475f-8b39-7c9693fe305e,2013-04-30 00:00:00
1463,قفاز يد ذو حشوة كاملة، وثنية أصابع محسنة، وغطاء قوي لراحة اليد، كما يمكن تعديل مكان إغلاقه.,98c3335b-2be0-4a0e-8aa3-a98173952f31,2013-04-30 00:00:00
1464,قفاز ذو راحة يد صناعية، ومفاصل أصابع مرنة، وفتحات علوية تسمح بمرور الهواء. يرتديه راكبو دراجات فريق AWC.,fead2b93-e1cb-4399-ac1c-013dc46278e3,2013-04-30 00:00:00
1465,قمصان شديدة التحمل مقاومة للاحتكاكات تحتوي على قمصان داخلية أخرى خالية من الفتحات مصنوعة من قماش سباندكس ومبطنة بشمواة مضاد للبكتريا لتوفير الراحة.,b6258cad-5391-4b05-9f82-eb9d1d6f6833,2013-04-30 00:00:00
1466,تشمل 8 رقع لصق مختلفة الحجم، ومادة غروية لاصقة، وورق سنفرة.,ee3565ca-4cec-4347-8581-d4f297af4712,2013-04-30 00:00:00
1467,علب خفيفة الوزن، ومقاومة للريح، تناسب حجم الجيب.,53c4834c-b061-4439-b408-09e77e846423,2013-04-30 00:00:00
1468,قمصان سباق رجالي ذات ثمانية أقسام، من قماش سباندكس وذات حزام مرن وماسكات للرجلين.,3452cde5-de87-4992-b75e-f5bd1982c0af,2013-04-30 00:00:00
1469,حامل دراجة ممتاز متعدد الأغراض يلائم صيانة دراجتك بالمنزل. قوامط سريعة الضبط وتركيبة فولاذية.,bdfe5f80-0ed7-49dd-a8d5-57bdce0559fb,2013-04-30 00:00:00
1470,مصباح أمامي مزدوج الإضاءة قابل لإعادة الشحن.,97ef5031-0179-4044-8484-0dcbb19e7469,2013-04-30 00:00:00
1471,مصباح أمامي قوي مضاد للظروف الجوية.,83553b75-2186-44e2-a874-f49728555f64,2013-04-30 00:00:00
1472,قميص صوفي قصير الأكمام كلاسيكي يسمح بمرور الهواء خلاله مع تحكم فائق في الرطوبة، مزود بزمام منزلق أمامي، وثلاثة جيوب خلفية.,1773f7fa-f293-4508-bf97-0e091e79f7e9,2013-04-30 00:00:00
1473,بسيطة وخفيفة الوزن. رقع لصق للطوارئ مخزنة في قضيب القيادة.,28053b84-47a1-4a8f-9790-bf67fb5ae114,2013-04-30 00:00:00
1474,رفيعة وخفيفة الوزن وشديدة التحمل ذات أكمام تظل ثابتة.,159eebf8-5063-4fe8-bf95-f60fa5c18f40,2013-04-30 00:00:00
1475,هيكل قفصي من الألومنيوم يُثبت الزجاجة بإحكام أثناء القيادة على الأراضي الوعرة.,67ac9ac9-8e81-49ac-9e32-34546e4c5daf,2013-04-30 00:00:00
1476,نمط تقليدي ذو حافة قابلة للانقلاب لأعلى، بحجم واحد يلائم الجميع.,0738120b-2f39-4117-959e-bb284590eaab,2013-04-30 00:00:00
1477,قميص صوفي موحد للجنسين بأكمام طويلة للتسابق مصنوع من المايكروفيبر يحمل شعار AWC.,4598362f-8278-4255-bc18-7bee20e8e9c8,2013-04-30 00:00:00
1478,ملائمة بشكل عام، وجيدة التهوية، وخفيفة الوزن بقناع واق من الشمس مزود بخاصية الالتصاق التلقائي.,8fb978a2-bec4-4cd1-adf8-35874c17dd40,2013-04-30 00:00:00
1479,شنطة ظهر مائية متعددة الأغراض والاستعمالات تزن 1.960 كيلوجرام وتوفر مساحة تخزين إضافية، وإمكانية تعبئة سهلة، مع حزام وسط.,b169e989-6feb-4f85-9d79-d01711eed4da,2013-04-30 00:00:00
1480,تساعد الرداءات المحكمة المصنوعة من الاسباندكس المخصصة للقيادة في فصل الشتاء، مع تركيبة الشمواة الانسيابية على التخلص من مواضع الضغط.,e8c4c5c4-ba77-4e12-acd1-f89aecbcbe58,2013-04-30 00:00:00
1481,يمكنها إزالة أصعب أوساخ الطريق، وإذابة المواد الزيتية، كما أنها آمنة بيئيًا. زجاجة بسعة لتر واحد.,adbd7b7f-31d0-45db-ada8-8368114e6f18,2013-04-30 00:00:00
1482,أغلفة تناسب الإطارين الأمامي والخلفي، وتشمل حاملاً ومفتاحين.,5c86da67-12ac-45ca-8fa8-b19a43c30918,2013-04-30 00:00:00
1484,Acier chromé.,7f3423f0-9ef6-460e-a08a-925aefabd39a,2013-04-30 00:00:00
1485,Cuvettes en alliage d'aluminium ; axe de grand diamètre.,dbf35181-8cd5-4641-bab5-6bdfa8441112,2013-04-30 00:00:00
1486,Cuvettes en alliage d'aluminium et axe creux.,3d57ba93-2856-4ff7-8b17-8dbed99109ab,2013-04-30 00:00:00
1487,"Adapté à tous les usages, sur route ou tout-terrain. Pour toutes les bourses. Changement de braquet en douceur et conduite confortable.",5c1dab3a-4b31-4d9d-a14f-3cb61949b79b,2013-04-30 00:00:00
1488,"Ce vélo offre un excellent rapport qualité-prix. Vif et facile à manœuvrer, il se conduit en toute tranquillité sur les chemins et les sentiers.",79065ec8-2080-4120-a4ea-bfa7ea1f1f9d,2013-04-30 00:00:00
1489,"Pour les véritables passionnés du VTT. Un vélo extrêmement robuste qui vous permettra d'aller partout, même sur les terrains difficiles, pour un budget raisonnable.",93463372-82ef-4ec4-ba0f-da371a6fbef6,2013-04-30 00:00:00
1490,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,2b6fa2a7-4815-47b6-a6bc-d6aec23b85cc,2014-02-08 10:32:17.973
1491,"VTT de compétition haut de gamme. Plusieurs options d'amélioration des performances : cadre HL, suspension avant particulièrement souple et traction adaptée à tous les terrains.",3d73a955-289a-47c1-bf47-596eb0cbbaa1,2013-04-30 00:00:00
1492,Adapté à tous les terrains. Pour toutes les bourses.,2198e171-cf84-44e2-8b73-342a45e18366,2013-04-30 00:00:00
1493,Vélo d'adulte d'entrée de gamme ; permet une conduite confortable en ville ou sur les chemins de campagne. Moyeux et rayons à blocage rapide.,7943455f-3fbe-44c0-9ac2-7ee642d3944b,2013-04-30 00:00:00
1494,"Vélo très séduisant comportant de nombreuses caractéristiques des modèles haut de gamme. Bénéficie du cadre léger et rigide, mais aussi de la ligne performante qui ont fait notre réputation.",485b21fe-a5b5-4df2-a2f8-3de106f08ef1,2013-04-30 00:00:00
1495,"Équipé de la même technologie que tous nos vélos de route, avec un cadre femmes. Idéal pour la promenade ou la course sur route.",8b97634a-52f9-4a5c-93ea-6b6b15d1f5dd,2013-04-30 00:00:00
1496,Équipé de la même technologie que tous nos vélos de route. Idéal pour la promenade ou la course sur route.,33060e1f-c997-4d6a-ade7-c68fb620d5ce,2013-04-30 00:00:00
1497,"Un véritable vélo multi-sports, qui offre une conduite optimisée et une ligne révolutionnaire. Sa ligne aérodynamique vous permet de l'utiliser en course et ses vitesses de gravir les cols.",3e4964dc-a697-481f-9374-e6f67e89808d,2013-04-30 00:00:00
1498,"VTT, course ou promenade entre amis sur un vélo aérodynamique et léger. Bénéficie d'un système de selle perfectionné qui offre un confort optimal.",f484e5c5-bfd4-4220-8b2a-677f2f49b3ee,2013-04-30 00:00:00
1499,"Tout terrain, course ou promenade entre amis sur un vélo aérodynamique et léger (cadre femmes). Bénéficie d'un système de selle perfectionné qui offre un confort optimal.",559c08ef-739c-4979-88e0-8165f9f6ba77,2013-04-30 00:00:00
1500,"Cadre en alliage d'aluminium qui offre une conduite légère et rapide, sur pistes ou sur routes de campagne.",de8dfd6b-a04f-4865-99a1-a2a88ce92993,2013-04-30 00:00:00
1501,"Ce vélo est destiné aux champions cyclistes. Mis au point par une équipe cycliste professionnelle, ce vélo possède un cadre en aluminium traité à chaud extrêmement léger et un guidon qui permet une conduite très précise.",710c56b1-c463-48ff-87f1-15d2ea58b029,2013-04-30 00:00:00
1502,"Vélo de qualité pour tous usages, doté d'un bon niveau de confort et de sécurité. Présente des pneus plus larges et plus stables pour les sorties en ville ou les randonnées du week-end.",e5288050-bc5b-45cc-8849-c7d4af2fe2b6,2013-04-30 00:00:00
1503,La selle rembourrée offre un confort optimal. Le porte-bagages nouvellement remanié offre diverses possibilités d'ajout de paniers ou de sacoches. Ce vélo reste parfaitement stable une fois chargé.,28b132c3-108c-412d-9918-a8c9297dfb73,2013-04-30 00:00:00
1504,"Voyagez confortablement et avec élégance. Confort et sécurité maximum. Large éventail de vitesses pour gravir toutes les côtes. Sa fabrication en alliage d'aluminium haute technologie est synonyme de robustesse, sans ajout de poids.",e3bac4a6-220c-4e5e-8261-51e08906c0e8,2013-04-30 00:00:00
1505,Système de changement de vitesse très performant.,426fe762-42c4-4843-9c02-b6fa45ecc29c,2013-04-30 00:00:00
1506,Axe très rigide.,73983734-e8f7-4681-9d7f-9abad24bb609,2013-04-30 00:00:00
1507,Manivelle haute résistance.,1075b851-8aef-46c8-9a97-d45e1b23398c,2013-04-30 00:00:00
1508,Pédalier triple plateaux ; manivelle en aluminium ; changement de braquet impeccable.,7d23fb50-63d3-4f41-adab-ebab93846bf7,2013-04-30 00:00:00
1509,Patins de freinage pour tous les temps ; freinage renforcé par l'application d'une plus grande surface sur la jante.,5ed8186a-6049-42b1-b1b0-3b1f899c538b,2013-04-30 00:00:00
1510,Conception liaison large.,64723c0c-09d5-497d-83a3-4561818a8f1c,2013-04-30 00:00:00
1511,Conception robuste permettant d'absorber les chocs et d'offrir une conduite plus précise.,4e0f2242-6ee6-4757-8ecf-0b9e0c23304d,2013-04-30 00:00:00
1512,Fourche composite pour route avec tube de direction en aluminium.,04902a2e-7819-4ebe-bc8a-8a115df1356e,2013-04-30 00:00:00
1513,Fourche pour route en carbone hautes performances avec bras incurvés.,2f6eaf45-d217-4e62-9676-a3b22ad07dde,2013-04-30 00:00:00
1514,Utilise la même technologie de cadre que celle adoptée sur le cadre en aluminium ML.,f5d3b83b-8a70-4a64-84ab-8afe20d5791d,2013-04-30 00:00:00
1515,Le cadre ML est un cadre en aluminium traité à chaud fabriqué avec le même niveau de détail et de qualité que notre cadre HL. Il offre des performances exceptionnelles. Version hommes.,dba0a067-f4ff-450b-b33c-65e2eab7afbc,2013-04-30 00:00:00
1516,Le cadre ML est un cadre en aluminium traité à chaud fabriqué avec le même niveau de détail et de qualité que notre cadre HL. Il offre des performances exceptionnelles. Version femmes.,ce88bac5-991c-49bb-a970-34aac6458a80,2013-04-30 00:00:00
1517,"Doté du même alliage en aluminium que notre cadre HL haut de gamme, le ML possède un tube léger dont le diamètre est prévu pour offrir une résistance optimale. Version femmes.",f3cd990a-b70d-43c8-a075-934a3e98b5aa,2013-04-30 00:00:00
1518,Roue de secours tout-terrain pour vététiste occasionnel.,5e0e8215-c919-4f17-8210-27ed63d6e605,2013-04-30 00:00:00
1519,Roue de secours tout-terrain pour vététiste amateur à confirmé.,42177fd5-bd86-4c83-b4be-bd10b130996b,2013-04-30 00:00:00
1520,Roue de secours tout-terrain hautes performances.,4fa87a89-980c-435b-b298-1eb3ac8ca0af,2013-04-30 00:00:00
1521,Roue avant pour vélo de route pour cycliste occasionnel.,920d04a9-a533-46af-94a4-0163a17b85b9,2013-04-30 00:00:00
1522,Alliage robuste avec moyeu à blocage rapide.,a8a38d46-dc4c-4880-9ec1-355aef8a3a0c,2013-04-30 00:00:00
1523,Roue solide avec jante double paroi.,d14d63a9-9536-4da9-ad80-3d875c4dd099,2013-04-30 00:00:00
1524,Jantes aérodynamiques pour conduite en souplesse.,f95f3178-631c-40b3-b9ad-f58f85359321,2013-04-30 00:00:00
1525,Barre d'appui tous usages pour conduite sur route ou tout-terrain.,b0225007-907d-49c0-a044-f6877fa61286,2013-04-30 00:00:00
1526,Barres d'appui en alliage d'aluminium solide pour descente.,167fe5eb-6db1-4f5d-8c8a-a492c553fd8f,2013-04-30 00:00:00
1527,Barre d'appui plate suffisamment solide pour le circuit professionnel.,1fa72bd6-06f7-4242-8ea0-b66348bd6daf,2013-04-30 00:00:00
1528,Forme très réussie destinée à faciliter l'accès aux leviers.,0ffcbc51-1ea6-4acf-81d0-237d5fbae4c6,2013-04-30 00:00:00
1529,Barre d'appui avec tube en aluminium ergonomique pour répondre aux besoins de tous les cyclistes.,c1445984-76f7-4365-85aa-b7cc431325bc,2013-04-30 00:00:00
1530,Conçu pour la compétition ; barre d'appui ergonomique haut de gamme en alliage d'aluminium.,a151bed2-3518-4839-a69d-634cfa3f3ec4,2013-04-30 00:00:00
1531,Forme très réussie destinée à diminuer la fatigue des cyclistes occasionnels.,ac22eb66-7d6e-4f5b-85f0-a607756daf7a,2013-04-30 00:00:00
1532,Barre d'appui en aluminium légère et solide pour les longues randonnées.,a4c66909-153e-4aef-9cbb-5b3aafc794d5,2013-04-30 00:00:00
1533,Jeu de direction de qualité sans filetage à un prix abordable.,1b6fe878-c2e0-44c3-9bf6-90736d4d68b5,2013-04-30 00:00:00
1534,Boîtier de protection hermétique.,9c798199-0146-4d9f-b75b-97fd0624baf4,2013-04-30 00:00:00
1535,"Jeu de direction sans filetage 2,54 cm de grande qualité avec un dispositif de lubrification rapide.",4f6fb6ce-7338-4a2f-b799-373fb4f7fbc7,2013-04-30 00:00:00
1536,Plate-forme allongée permettant de rouler avec tous types de chaussures ; idéal pour la randonnée.,6102390f-0b9a-4650-adbf-afeb44831be1,2013-04-30 00:00:00
1537,Pédales automatiques légères et robustes avec tension réglable.,6a60e7f6-a5cd-4e7b-8612-9340e46bf66d,2013-04-30 00:00:00
1538,Acier inoxydable ; facile à nettoyer.,f4384fc0-86f4-4b6a-a479-ed9efd957738,2013-04-30 00:00:00
1539,Pédales automatiques - aluminium.,581cc0dc-284c-4370-a2d3-25f2d5382d8c,2013-04-30 00:00:00
1540,Fabrication en alliage d'aluminium léger.,c5458df7-44a0-47f8-8053-d252c5c6e564,2013-04-30 00:00:00
1541,Pédales automatiques haut de gamme avec tension réglable.,f77e9dd5-5a88-4120-98e2-41155aa5a8c1,2013-04-30 00:00:00
1542,Pédale stable pour longs trajets.,1f6c0555-91b7-4a33-82d7-6daacf545a29,2013-04-30 00:00:00
1543,Bouchon de remplissage ; étriers en aluminium poli.,dc507876-5900-4220-92ee-77773315e0de,2013-04-30 00:00:00
1544,Dérailleur en aluminium 10 vitesses avec supports de galet hermétiques.,171ad0cb-9f23-41ff-9f04-1bec6e5da6da,2013-04-30 00:00:00
1545,Roue de secours tout-terrain arrière pour vététiste occasionnel.,aa4ba87f-c08b-4d69-a997-2db2b740bbcc,2013-04-30 00:00:00
1546,Roue de secours tout-terrain arrière pour vététiste amateur à confirmé.,d7071f06-ed08-4d96-a86a-90eae504502c,2013-04-30 00:00:00
1547,"Jantes très robustes, solidité garantie.",9d49efcd-731d-4a68-9883-fb359c0eb2a0,2013-04-30 00:00:00
1548,Roue de secours arrière pour cycliste occasionnel.,e0e52bb3-6965-48f5-a141-df4db5959f58,2013-04-30 00:00:00
1549,Jante en alliage d'aluminium avec rayons en acier inoxydable ; pour une vitesse optimale.,0a428d3d-bca8-4384-bf1f-dfaaf509859f,2013-04-30 00:00:00
1550,Roue arrière solide avec jante doublée.,8203a0c3-046a-49e9-b979-e99276947c8e,2013-04-30 00:00:00
1551,Excellentes jantes aérodynamiques pour une conduite en souplesse.,9ac2b75a-acca-41b9-b0cf-7c1fb38ac950,2013-04-30 00:00:00
1552,Cuir synthétique. Confort amélioré grâce au couvre-selle en gel.,e70bf1c2-3d22-49eb-beb7-4f9f4e558172,2013-04-30 00:00:00
1553,Conçu pour absorber les chocs.,9bb61cb4-03a5-44da-a7f9-a6aba7292f6d,2014-02-08 10:32:17.973
1554,Conception ergonomique pour randonnée longue distance confortable. Cuir de qualité.,089a3b78-2cf0-4837-8d14-d658829f545c,2013-04-30 00:00:00
1555,Selle légère avec renfort en mousse.,79586e6b-8256-412e-a5e3-dcd7d7287258,2013-04-30 00:00:00
1556,Amortisseurs en caoutchouc pour absorber les bosses.,f22ef7e4-b054-4b80-8577-a5073c0040f7,2013-04-30 00:00:00
1557,Selle de course légère en Kevlar. Cuir.,ea5ca234-1864-4cc9-9fda-341015a126c7,2013-04-30 00:00:00
1558,Selle confortable et ergonomique profilée avec couvre-selle en gel.,186a389c-f582-46c6-b18c-72ed4ff40239,2013-04-30 00:00:00
1559,Nouvelle conception pour éviter la fatigue lors des longues randonnées.,9d7e52e6-cb6b-4342-ad8b-e8166a073da2,2013-04-30 00:00:00
1560,Cadre profilé pour améliorer le confort.,9d318f52-8bf8-4c36-85a6-2eb250efa560,2013-04-30 00:00:00
1561,"Traction comparable aux modèles haut de gamme, gomme de pneu moins chère.",6243c374-ff8b-4e2b-ab4c-8bd40f723619,2013-04-30 00:00:00
1562,"Grande traction, caoutchouc haute densité.",4b7bddd3-0b60-4075-b438-fd2dd1cd97bb,2013-04-30 00:00:00
1563,Traction exceptionnelle ; carbone léger renforcé.,8b153c0f-af26-40c7-8bd9-2a5d15518b98,2013-04-30 00:00:00
1564,"Même dessin que les pneus plus chers, mais doté d'une gomme moins chère.",dfae8e75-057f-43b2-a9ff-3331eb15f861,2013-04-30 00:00:00
